userId,movieId,rating,timestamp
537,121129,2.5,1424317054
342,2428,2.0,1042822039
111,123200,4.5,1516468597
6,775,3.0,845556462
454,7361,3.5,1284801946
323,22,3.0,1422640551
111,6503,3.5,1516143939
222,68554,3.0,1391375809
140,5989,4.0,1055896017
376,1097,3.5,1364933310
69,1193,5.0,1021642934
514,593,5.0,1533871755
469,1274,4.0,965335401
290,1,4.0,975031464
332,5226,2.5,1352673650
352,56145,5.0,1493674751
305,8644,5.0,1460136224
391,627,5.0,1030944287
381,2053,3.5,1200824399
534,79134,3.5,1459787998
47,145839,3.5,1496210199
391,5055,3.0,1031031037
18,55276,4.0,1476901520
382,1,4.5,1515162628
517,3269,2.0,1487957428
428,2723,3.5,1111489342
358,2144,3.0,1339539145
381,68954,4.5,1248413728
391,1285,3.0,1032389568
332,480,3.5,1352673901
187,1258,4.5,1161849677
371,26662,4.5,1407692031
398,82459,4.0,1311207875
57,329,4.0,969753849
528,3147,3.5,1391736303
190,5481,3.0,1504310159
305,2105,3.0,1518768014
57,2023,3.0,969754641
6,177,3.0,845554931
359,2858,4.0,1198112078
222,4343,3.5,1391352096
57,1688,3.0,972175291
279,1,3.0,1506394495
57,1275,5.0,965798172
6,79,3.0,845554907
528,2571,5.0,1391735927
563,128832,3.5,1448253520
7,8961,4.0,1106636064
469,3671,4.0,965336955
51,3959,4.5,1230930118
57,2985,3.0,965798759
534,1894,3.5,1459796077
140,4889,3.0,1020883962
80,102125,4.0,1377309044
51,1999,5.0,1230931346
534,86911,4.0,1459787998
563,114662,3.5,1446856280
431,543,3.5,1267051841
64,8464,4.0,1161520915
64,32587,4.5,1161521307
6,795,3.0,845556506
159,150,4.0,1508641167
187,527,4.0,1161872571
222,45447,3.0,1391353572
391,2395,4.0,1030825372
577,1077,3.0,945967015
517,1945,1.0,1487958106
47,97923,4.0,1496206766
57,11,3.0,965797264
523,7143,5.0,1503127492
69,2571,5.0,1021643884
428,6502,3.5,1111525627
454,407,3.5,1279476736
187,51540,3.0,1180300951
514,5247,2.5,1537757040
266,2947,5.0,945667724
381,8972,3.5,1167542983
381,1777,4.5,1200824491
292,1073,4.5,1265680442
51,1079,5.0,1230929741
292,2167,3.0,990062689
517,1265,3.0,1487953444
187,7361,4.0,1161849382
424,107348,3.0,1457846633
88,7153,5.0,1331421831
332,2130,4.0,1352674304
190,30749,4.0,1504310146
331,8533,4.0,1537158222
523,76093,5.0,1503126092
305,63992,3.0,1460136729
465,3505,4.0,959896032
33,2324,3.0,939646784
563,45720,4.0,1441845093
279,68319,3.0,1506394252
534,59615,3.5,1459787998
568,480,3.0,1253767289
305,5956,4.5,1460222154
401,112852,3.5,1514346960
187,380,2.0,1161863826
241,27803,4.5,1447536343
18,8958,4.0,1466969258
382,85510,3.0,1515249326
6,150,4.0,845553110
305,59421,3.5,1518198907
146,3534,3.0,1312508283
111,1588,3.5,1518903975
352,36401,3.0,1493674782
6,344,3.0,845553146
430,2076,5.0,995828418
517,3948,2.0,1487957284
33,265,5.0,939646733
534,2717,4.0,1459787997
577,368,4.0,945967371
417,4896,5.0,1529283632
64,736,3.5,1161520113
18,91542,4.0,1455051101
187,7802,4.0,1161849821
424,3186,3.5,1457845982
7,1246,1.5,1106635678
292,3527,3.5,1265679783
417,55247,5.0,1529284048
381,6893,4.0,1168664484
223,1345,1.0,1226209228
332,32,2.5,1352671273
57,1831,2.0,965798952
514,149330,4.0,1535944005
7,58,3.0,1106635520
140,1459,3.0,967049270
517,88267,3.0,1492339325
6,351,4.0,845554455
266,45,2.0,945669246
352,103228,4.0,1493674676
465,933,5.0,959896051
290,2028,4.0,975031464
6,317,4.0,845553457
64,1282,3.5,1161559559
18,119145,4.0,1457382413
111,106782,5.0,1516140978
47,49530,3.0,1496206730
140,5103,4.0,1012506578
358,85334,0.5,1339546025
469,3418,4.0,965333750
109,442,3.0,841108301
332,7419,3.5,1352671928
563,86548,3.5,1441845041
69,318,5.0,1021646944
6,532,3.0,845554224
118,1221,5.0,944924276
187,7371,4.0,1161850373
111,5418,0.5,1516140860
351,68157,3.5,1326028264
305,316,3.0,1518197885
256,3980,5.0,1446580852
140,3408,3.0,1004036158
382,2028,4.5,1515162599
18,98809,4.0,1455051180
187,1241,4.5,1161849720
305,61132,5.0,1460135832
6,265,3.0,845553726
469,2023,3.0,965334279
537,105504,5.0,1424141141
420,5784,3.5,1218037595
346,3174,3.0,1094646665
381,2797,4.0,1165975904
528,55290,1.0,1391734657
517,4327,1.0,1492339152
266,24,1.0,948586506
331,36529,3.0,1537158122
190,318,4.0,1504309935
290,2013,4.0,975032333
332,76251,3.0,1352672865
292,100498,3.5,1442181812
57,2917,4.0,965796748
381,1485,3.5,1165975973
290,1276,4.0,974938065
428,1479,3.0,1111523517
222,82852,2.5,1391374855
593,8961,3.0,1181007510
305,44972,4.0,1460366310
310,6708,4.0,1078648322
7,4370,4.5,1106712869
111,3247,3.5,1516156060
348,2065,5.0,1378849996
528,1225,3.5,1391736086
422,3986,2.0,989716259
352,3354,3.5,1493673829
51,1845,5.0,1230930426
469,750,5.0,965335315
187,590,1.0,1180300979
