id	movieId
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	34
34	36
35	38
36	39
37	40
38	41
39	42
40	43
41	44
42	45
43	46
44	47
45	48
46	49
47	50
48	52
49	53
50	54
51	55
52	57
53	58
54	60
55	61
56	62
57	63
58	64
59	65
60	66
61	68
62	69
63	70
64	71
65	72
66	73
67	74
68	75
69	76
70	77
71	78
72	79
73	80
74	81
75	82
76	83
77	85
78	86
79	87
80	88
81	89
82	92
83	93
84	94
85	95
86	96
87	97
88	99
89	100
90	101
91	102
92	103
93	104
94	105
95	106
96	107
97	108
98	110
99	111
100	112
101	113
102	116
103	117
104	118
105	119
106	121
107	122
108	123
109	125
110	126
111	128
112	129
113	132
114	135
115	137
116	140
117	141
118	144
119	145
120	146
121	147
122	148
123	149
124	150
125	151
126	152
127	153
128	154
129	155
130	156
131	157
132	158
133	159
134	160
135	161
136	162
137	163
138	164
139	165
140	166
141	168
142	169
143	170
144	171
145	172
146	173
147	174
148	175
149	176
150	177
151	178
152	179
153	180
154	181
155	183
156	184
157	185
158	186
159	187
160	188
161	189
162	190
163	191
164	193
165	194
166	195
167	196
168	198
169	199
170	201
171	202
172	203
173	204
174	205
175	206
176	207
177	208
178	209
179	210
180	211
181	212
182	213
183	214
184	215
185	216
186	217
187	218
188	219
189	220
190	222
191	223
192	224
193	225
194	227
195	228
196	229
197	230
198	231
199	232
200	233
201	234
202	235
203	236
204	237
205	238
206	239
207	240
208	241
209	242
210	243
211	246
212	247
213	248
214	249
215	250
216	251
217	252
218	253
219	254
220	255
221	256
222	257
223	258
224	259
225	260
226	261
227	262
228	263
229	265
230	266
231	267
232	269
233	270
234	271
235	272
236	273
237	274
238	275
239	276
240	277
241	278
242	279
243	280
244	281
245	282
246	283
247	284
248	285
249	287
250	288
251	289
252	290
253	291
254	292
255	293
256	294
257	295
258	296
259	298
260	299
261	300
262	301
263	302
264	303
265	304
266	305
267	306
268	307
269	308
270	310
271	311
272	312
273	313
274	314
275	315
276	316
277	317
278	318
279	319
280	320
281	321
282	322
283	324
284	325
285	326
286	327
287	328
288	329
289	330
290	331
291	332
292	333
293	334
294	335
295	336
296	337
297	338
298	339
299	340
300	341
301	342
302	343
303	344
304	345
305	346
306	347
307	348
308	349
309	350
310	351
311	352
312	353
313	354
314	355
315	356
316	357
317	358
318	359
319	360
320	361
321	362
322	363
323	364
324	365
325	366
326	367
327	368
328	369
329	370
330	371
331	372
332	373
333	374
334	376
335	377
336	378
337	379
338	380
339	381
340	382
341	383
342	384
343	385
344	386
345	387
346	388
347	389
348	390
349	391
350	393
351	405
352	406
353	407
354	408
355	409
356	410
357	412
358	413
359	414
360	415
361	416
362	417
363	418
364	419
365	420
366	421
367	422
368	423
369	424
370	425
371	426
372	427
373	428
374	429
375	430
376	431
377	432
378	433
379	434
380	435
381	436
382	437
383	438
384	440
385	441
386	442
387	444
388	445
389	446
390	448
391	449
392	450
393	451
394	452
395	453
396	454
397	455
398	456
399	457
400	458
401	459
402	460
403	461
404	464
405	466
406	467
407	468
408	469
409	470
410	471
411	472
412	473
413	474
414	475
415	476
416	477
417	478
418	479
419	480
420	481
421	482
422	484
423	485
424	486
425	487
426	488
427	489
428	490
429	491
430	492
431	493
432	494
433	495
434	496
435	497
436	499
437	500
438	501
439	502
440	504
441	505
442	506
443	507
444	508
445	509
446	510
447	511
448	512
449	513
450	514
451	515
452	516
453	517
454	518
455	519
456	520
457	521
458	522
459	523
460	524
461	526
462	527
463	528
464	529
465	531
466	532
467	533
468	534
469	535
470	536
471	537
472	538
473	539
474	540
475	541
476	542
477	543
478	544
479	546
480	547
481	548
482	549
483	550
484	551
485	552
486	553
487	555
488	556
489	558
490	562
491	563
492	564
493	567
494	568
495	569
496	573
497	574
498	575
499	577
500	579
501	580
502	581
503	583
504	585
505	586
506	587
507	588
508	589
509	590
510	592
511	593
512	594
513	595
514	596
515	597
516	599
517	600
518	602
519	605
520	606
521	608
522	609
523	610
524	611
525	612
526	613
527	615
528	616
529	617
530	618
531	619
532	626
533	627
534	628
535	631
536	632
537	633
538	634
539	635
540	636
541	637
542	638
543	639
544	640
545	645
546	647
547	648
548	649
549	650
550	653
551	656
552	661
553	662
554	663
555	665
556	667
557	668
558	670
559	671
560	673
561	674
562	678
563	679
564	680
